,Less than 1 year,1 to 2 years,3 to 5 years,6 to 9 years,More than 10 years,Low,Average,High
account executive,,,,,,"35,408","70,322","139,661"
account manager,,,,,,"37,080","69,240","129,292"
account representative,,,,,,"32,468","59,375","108,580"
accountant,-,"58,269",-,-,"72,354","43,261","62,843","91,289"
accounting,-,"58,269",-,-,"72,354","43,261","62,843","91,289"
accounting assistant,19.58,-,21.70,-,22.53,15.49,20.58,27.34
accounting clerk,,,,,,14.36,20.59,29.51
accounting manager,"86,283","85,449",-,-,"102,569","62,210","90,929","132,906"
accounting professional,-,"58,269",-,-,"72,354","43,261","62,843","91,289"
accounting specialist,,,,,,16.51,22.85,31.63
accounts payable,,,,,,15.44,20.99,28.54
accounts payable specialist,,,,,,"35,445","45,711","58,950"
actor,,,,,,7.25,14.94,39.12
adjunct professor,,,,,,37.72,61.22,99.37
admin assistant,18.59,18.44,-,19.95,22.04,13.79,19.14,26.56
admin asst,18.59,18.44,-,19.95,22.04,13.79,19.14,26.56
administrative assistant,18.59,18.44,-,19.95,22.04,13.79,19.14,26.56
administrative coordinator,,,,,,14.36,20.77,30.03
administrative secretary,,,,,,12.69,19.49,29.93
administrative specialist,,,,,,"32,485","46,925","67,784"
administrator,,,,,,"43,538","75,107","129,566"
agent,,,,,,11.05,18.46,30.83
analyst,,,,,,"48,048","74,503","115,524"
apparel & fashion professional,,,,,,7.25,14.12,28.26
architect,,,,,,"65,247","107,783","178,050"
area manager,,,,,,"40,954","70,291","120,643"
art director,,,,,,"48,283","80,097","132,874"
art teacher,,,,,,12.71,24.18,46.02
artist,,,,,,8.58,20.36,48.30
assembler,,,,,,12.51,17.64,24.85
assistant,,,,,,10.81,16.66,25.66
assistant controller,-,"91,375",-,-,-,"65,705","97,898","145,865"
assistant director,,,,,,"35,716","62,914","110,824"
assistant general manager,,,,,,"35,022","51,106","74,576"
assistant manager,,,,,,12.87,16.72,21.71
assistant principal,-,"81,154",-,-,"93,734","56,285","85,442","129,702"
assistant professor,,,,,,"45,597","74,881","122,972"
assistant project manager,,,,,,"44,455","67,493","102,470"
assistant store manager,,,,,,13.52,18.21,24.54
assistant vice president,,,,,,"75,197","122,148","198,413"
associate,,,,,,10.74,16.62,25.72
associate attorney,-,"85,137",-,"125,765","128,285","58,039","97,085","162,398"
associate broker,,,,,,"42,475","86,078","174,443"
associate director,,,,,,"64,616","110,544","189,119"
attorney,"81,515","94,168",-,"116,582","134,777","59,467","104,290","182,900"
auditor,"75,301","77,276",-,-,"98,366","42,111","81,055","156,011"
author,,,,,,11.85,21.74,39.89
automotive technician,22.98,23.83,26.96,28.50,32.15,15.54,25.52,41.93
baker,14.88,-,16.74,-,19.89,11.46,15.83,21.88
barista,,,,,,10.94,14.98,20.50
bartender,-,14.95,17.02,-,18.60,8.33,16.17,31.38
billing specialist,,,,,,15.39,20.75,27.98
bookkeeper,,,,,,15.64,21.90,30.66
branch manager,,,,,,"28,951","69,026","164,572"
broker,,,,,,"35,411","78,624","174,573"
broker associate,,,,,,"35,411","78,624","174,573"
budget analyst,,,,,,"49,425","75,606","115,656"
business analyst,-,"80,315",-,"89,210","94,350","55,523","84,214","127,731"
business consultant,,,,,,"48,354","80,694","134,663"
business development,,,,,,"49,585","85,792","148,439"
business development manager,,,,,,"49,585","85,792","148,439"
business manager,"68,649","72,439",-,"84,401","85,411","43,742","77,456","137,157"
business owner,,,,,,8.67,18.18,38.14
buyer,"62,323",-,-,-,-,"44,863","66,282","97,927"
captain,,,,,,30.01,69.59,161
caregiver,-,15.57,16.21,16.56,-,11.69,15.86,21.51
carpenter,-,21.75,-,-,27.90,16.04,23.77,35.21
case manager,-,22.28,23.78,24.42,25.73,14.43,23.20,37.29
cashier,14.26,-,14.71,15.51,16.82,10.81,14.47,19.37
ceo,,,,,,"74,259","145,470","284,969"
certified medical assistant,18.30,19.28,20.47,21.62,22.62,14.83,19.77,26.35
certified nursing assistant,19.21,19.40,20.43,20.95,23.09,14.30,20.01,28.00
